platform,listing_id,title,city,bedrooms,bathrooms,price,rating,review_count,amenities_count,last_scraped
airbnb,1463135981831881468,Apartment in Beirut,Beirut,1,1,52,4.81,16,18,19/11/2025 11:39
airbnb,542336323876307421,Apartment in Beirut,Beirut,1,1,31.8,4.89,56,29,19/11/2025 11:39
airbnb,903389664107229083,Guesthouse in Deir El Qamar,Deir El Qamar,1,1,80,4.92,64,43,19/11/2025 11:39
airbnb,1307166382062118202,Apartment in Hadath,Hadath,2,1,63.4,4.97,29,59,19/11/2025 11:39
airbnb,53876321,Apartment in Beirut,Beirut,1,1,60.8,4.94,53,36,19/11/2025 11:39
airbnb,1233562630577093532,Apartment in Matn District,Matn District,3,2,92,5,7,46,19/11/2025 11:39
airbnb,714202180028181775,Apartment in Beirut,Beirut,1,1,58.8,4.83,80,45,19/11/2025 11:39
airbnb,815185320376035596,Villa in Mayrouba,Mayrouba,1,1,310,4.91,23,63,19/11/2025 11:39
airbnb,1352951838046923264,Apartment in Beirut,Beirut,2,1,80.2,4.98,40,59,19/11/2025 11:39
airbnb,917978369142995505,Apartment in Achrafieh,Achrafieh,1,1,139,4.89,91,50,19/11/2025 11:39
airbnb,50237992,Apartment in Batroun,Batroun,2,1,118.8,4.91,192,37,19/11/2025 11:39
airbnb,51726083,Apartment in Beirut,Beirut,,1,35,4.75,99,37,19/11/2025 11:39
airbnb,872836800724836217,Apartment in Beirut,Beirut,1,1,88.2,4.81,43,36,19/11/2025 11:39
airbnb,28126246,Apartment in Beirut,Beirut,2,2,167.8,4.83,155,46,19/11/2025 11:39
airbnb,1228350832145680269,Apartment in Sin el Fil,Sin el Fil,1,1,123,4.96,54,42,19/11/2025 11:40
airbnb,31364366,Comfy Double Room,Beirut,1,,23,4.9,52,35,19/11/2025 11:40
airbnb,1379864369619925659,Apartment in Beirut,Beirut,1,1,54,4.92,13,21,19/11/2025 11:40
airbnb,1432778638587175372,Apartment in Beirut,Beirut,1,1,65.2,4.83,18,43,19/11/2025 11:39
airbnb,43074160,Apartment in Beirut,Beirut,1,1,68.4,4.72,120,25,19/11/2025 11:40
airbnb,1379248016110767944,Apartment in Matn District,Matn District,3,1,83,5,21,67,19/11/2025 11:40
airbnb,51957613,Apartment in Beirut,Beirut,,1,38.6,4.65,139,38,19/11/2025 11:40
airbnb,1518793502918702279,Guesthouse in Beit Chabeb,Beit Chabeb,1,1,66.2,4.5,,33,19/11/2025 11:40
airbnb,1468546177763513106,Apartment in Keserwan District,Keserwan District,1,2,54.6,5,,41,19/11/2025 11:40
airbnb,987381910261097061,Apartment in Beirut,Beirut,1,1,50.2,4.82,11,27,19/11/2025 11:40
airbnb,679369796887201392,Apartment in Beirut,Beirut,1,1,58.6,4.96,55,37,19/11/2025 11:40
airbnb,1176613353237436126,Apartment in Beirut,Beirut,1,1,35.6,5,16,16,19/11/2025 11:40
airbnb,50236857,Apartment in Batroun,Batroun,1,1,77.6,4.89,245,32,19/11/2025 11:40
airbnb,28000834,Apartment in Baabda,Baabda,2,2,84.6,4.84,74,40,19/11/2025 11:40
airbnb,1099173752640307342,Apartment in Beirut,Beirut,1,1,33.8,4.9,58,23,19/11/2025 11:40
airbnb,1385385046248361370,Hotel in Beirut,Beirut,1,1,68.6,5,13,31,19/11/2025 11:40
airbnb,1492156032150400354,Apartment in Beirut,Beirut,1,1,54,5,6,36,19/11/2025 11:40
airbnb,1321923425916729599,Guesthouse in Deir El Qamar,Deir El Qamar,1,1,83.4,5,11,21,19/11/2025 11:40
airbnb,1051351332609455605,Apartment in Beirut,Beirut,1,1,66.2,4.96,28,34,19/11/2025 11:40
airbnb,1403402898880352517,Private + Jacuzzi + Cozy+ Bbq,Haouch Snad,1,1,85.6,5,10,12,19/11/2025 11:40
airbnb,1379843897011567478,Apartment in Beirut,Beirut,1,1,69,4.89,38,21,19/11/2025 11:40
airbnb,35796258,Apartment in Beirut,Beirut,1,1,31,4.87,204,20,19/11/2025 11:40
airbnb,1175384082610027727,Guesthouse in Kfar Aabîda,Kfar Aabîda,1,1,59.4,4.87,60,25,19/11/2025 11:40
airbnb,1472470052318061493,Apartment in Batroun,Batroun,1,1,72.8,4.8,5,37,19/11/2025 11:40
airbnb,51726551,Apartment in Beirut,Beirut,,1,39.6,4.68,185,32,19/11/2025 11:40
airbnb,1234582966913572669,Apartment in Beirut,Beirut,1,1,57.6,5,9,24,19/11/2025 11:41
airbnb,918197865694883707,Loft in Faqra,Faqra,2,1,203.2,4.85,47,50,19/11/2025 11:41
airbnb,1316120809476692490,Apartment in Jumayza,Jumayza,1,1,124,4.98,46,35,19/11/2025 11:41
airbnb,951174510347859458,Home in Batroun,Batroun,3,2,253.8,4.96,75,46,19/11/2025 11:41
airbnb,1426889854186151522,Cabin in Ain Al Sindianeh-khenchara,Ain Al Sindianeh-khenchara,1,2,115,5,8,28,19/11/2025 11:41
airbnb,1202893888826618235,Apartment in Beirut,Beirut,1,1,58.4,5,5,15,19/11/2025 11:41
airbnb,26287591,Chalet in El Barouk,El Barouk,1,1,125.6,4.85,34,8,19/11/2025 11:41
airbnb,1114435928490337667,Cave in Chemlane,Chemlane,3,2,70.4,5,15,23,19/11/2025 11:41
airbnb,1412297978357202089,Apartment in Beirut,Beirut,1,1,55.2,4.75,8,15,19/11/2025 11:41
airbnb,27935911,Apartment in Chenan Aair,Chenan Aair,2,2,74,4.9,127,46,19/11/2025 11:41
airbnb,1227459216847702759,Apartment in Beirut,Beirut,1,1,35.4,5,,5,19/11/2025 11:41
airbnb,1066101276595249256,Apartment in Beirut,Beirut,3,2,116.4,5,15,67,19/11/2025 11:41
airbnb,709376209976524156,Apartment in Matn District,Matn District,1,1,90.2,4.98,44,21,19/11/2025 11:41
airbnb,1517989345959542091,Home in Majdel Baana,Majdel Baana,1,2,75.4,5,,36,19/11/2025 11:41
