platform,title,city,bedrooms,bathrooms,price,rating,review_count,amenities_count,last_scraped
airbnb,Apartment in Haret Sakher,Haret Sakher,1,1,77.6,4.99,69,54,19/11/2025 11:42
Stayinn,"Arcades 2 de Bahsa, Batroun",Batroun,1,1,113.0,5.0,68,32,2025-11-23T06:31:33.273745
Stayinn,"The Cube - 7L, 1-BR / Sin El Fil",Beirut,1,1,130.0,5.0,68,45,2025-11-21T06:34:41.101913
Stayinn,"Arcades 2 de Bahsa, Batroun",Batroun,1,1,109.0,5.0,68,32,2025-11-22T06:30:18.963786
Stayinn,"Arcades 2 de Bahsa, Batroun",Batroun,1,1,101.0,5.0,68,32,2025-11-24T06:34:11.969542
Stayinn,"Arcades 2 de Bahsa, Batroun",Batroun,1,1,103.0,5.0,67,32,2025-11-19T14:26:39.272592
Stayinn,"Arcades 2 de Bahsa, Batroun",Batroun,1,1,131.0,5.0,67,32,2025-11-20T06:32:31.606883
airbnb,Home in Faqra,Faqra,3,3,150.2,4.7,67,62,19/11/2025 11:37
Stayinn,"Amine 104, 1-BR in Mar Mikhael",Beirut,1,1,93.0,5.0,66,49,2025-11-21T06:34:45.861743
Stayinn,"Amine 102, 2-BR in Mar Mikhael",Beirut,2,2,104.0,5.0,66,50,2025-11-20T06:33:03.528410
Stayinn,"Amine 104, 1-BR in Mar Mikhael",Beirut,1,1,94.0,5.0,66,49,2025-11-20T06:33:08.669351
Stayinn,"Amine 102, 2-BR in Mar Mikhael",Beirut,2,2,102.0,5.0,66,50,2025-11-24T06:34:39.735045
Stayinn,"Amine 104, 1-BR in Mar Mikhael",Beirut,1,1,92.0,5.0,66,49,2025-11-24T06:34:44.557048
Stayinn,"Amine 102, 2-BR in Mar Mikhael",Beirut,2,2,103.0,5.0,66,50,2025-11-21T06:34:39.952383
Stayinn,"Amine 102, 2-BR in Mar Mikhael",Beirut,2,2,101.0,5.0,66,50,2025-11-23T06:31:59.916690
Stayinn,"Amine 104, 1-BR in Mar Mikhael",Beirut,1,1,91.0,5.0,66,49,2025-11-22T06:30:50.870333
airbnb,Apartment in Chemlane,Chemlane,2,2,72.4,4.91,66,54,19/11/2025 11:48
airbnb,Cabin in Chabtine,Chabtine,1,1,114.2,4.97,65,20,19/11/2025 11:35
airbnb,Guesthouse in Deir El Qamar,Deir El Qamar,1,1,80.0,4.92,64,43,19/11/2025 11:39
Stayinn,Blackberry Studio in Mar Mikhael,Beirut,1,1,65.0,5.0,63,43,2025-11-19T14:26:57.159409
airbnb,Apartment in Jdeideh,Jdeideh,3,1,79.8,5.0,62,68,19/11/2025 11:46
Stayinn,Alice 2-BR / Mar Mikhael,Beirut,2,1,100.0,5.0,61,45,2025-11-22T06:30:43.866867
Stayinn,Cosmo in The Cube / Sin El Fil,Beirut,1,1,182.0,5.0,60,49,2025-11-23T06:31:22.736293
airbnb,Loft in Mtaileb,Mtaileb,1,1,40.0,5.0,60,35,19/11/2025 11:45
airbnb,Guesthouse in Kfar Aabîda,Kfar Aabîda,1,1,59.4,4.87,60,25,19/11/2025 11:40
Stayinn,Abbayto - Duplex Studio in Batroun Souk,Batroun,1,1,100.0,5.0,6,40,2025-11-20T06:31:37.471875
Stayinn,Sierra Faqra | Duplex 3-BR w/ Pool & Balcony,Faqra,3,1,163.0,5.0,6,49,2025-11-20T06:31:45.604408
Stayinn,Sierra Faqra | Duplex 3-BR w/ Pool & Balcony,Faqra,3,1,177.0,5.0,6,49,2025-11-24T06:33:23.087241
Stayinn,Sierra Faqra | Duplex 3-BR w/ Pool & Balcony,Faqra,3,1,188.0,5.0,6,49,2025-11-19T14:25:51.328121
Stayinn,Sierra Faqra | Duplex 3-BR w/ Pool & Balcony,Faqra,3,1,162.0,5.0,6,49,2025-11-22T06:29:39.541475
Stayinn,Sierra Faqra | Duplex 3-BR w/ Pool & Balcony,Faqra,3,1,174.0,5.0,6,49,2025-11-21T06:33:21.520816
airbnb,Apartment in Beirut,Beirut,1,1,54.0,5.0,6,36,19/11/2025 11:40
airbnb,Apartment in Beirut,Beirut,3,2,141.6,4.83,6,33,19/11/2025 11:38
airbnb,Blue suite (Age 15+),Thoum,1,1,160.8,5.0,6,36,19/11/2025 11:37
airbnb,Condo in Balluna,Balluna,3,2,77.0,4.67,6,55,19/11/2025 11:44
airbnb,Apartment in Byblos,Byblos,1,1,158.385148005148,5.0,6,32,19/11/2025 11:36
Stayinn,Perla's 2-BR Apt in Mar Mikhael,Beirut,2,1,100.0,5.0,59,45,2025-11-24T06:34:19.396087
Stayinn,Cosmo in The Cube / Sin El Fil,Beirut,1,1,140.0,5.0,59,49,2025-11-21T06:33:57.719961
airbnb,Apartment in Blat,Blat,2,1,73.8,5.0,59,51,19/11/2025 11:46
airbnb,Apartment in Beirut,Beirut,1,1,33.8,4.9,58,23,19/11/2025 11:40
