platform,listing_id,title,city,bedrooms,bathrooms,beds,price,price_per_night_usd,rating,review_count,amenities_count,minimum_nights,url,last_scraped
LebanonRental,anfeh-3-bedroom-guest-house-fidelle,"Anfeh, 3 bedroom Guest House – Fidelle",Koura,,,,Starting 50$ /Night,50.0,,0,0,1,https://lebanon-rental.com/property/anfeh-3-bedroom-guest-house-fidelle/,2025-11-27
LebanonRental,anfeh-2-bedroom-nephine,"Anfeh, 2 Bedroom – Nephine",Koura,,,,Starting 120$ /Night,120.0,,0,0,1,https://lebanon-rental.com/property/anfeh-2-bedroom-nephine/,2025-11-27
LebanonRental,cozy-beachfront-chalet-near-batroun,Chalet V – Cozy Beachfront Escape in Halat,El Batroun,1,1,1,Started 90$ /Night,90.0,,0,2,1,https://lebanon-rental.com/property/cozy-beachfront-chalet-near-batroun/,2025-11-27
LebanonRental,anfeh-1-bedroom-trieres,"Anfeh, 1 Bedroom – trieres",Koura,1,,1,Starting 60$ /Night,60.0,,0,1,1,https://lebanon-rental.com/property/anfeh-1-bedroom-trieres/,2025-11-27
LebanonRental,anfeh-anafa-1-bedroom,"Anfeh, Anafa 1 Bedroom",Koura,,,,Starting 70$ /Night,70.0,,0,0,1,https://lebanon-rental.com/property/anfeh-anafa-1-bedroom/,2025-11-27
LebanonRental,seaside-luxury-chalet-halat,"Halet, Chalet E – Seaside Luxury Escape",Jbeil,1,1,1,Started 100$ /Night,100.0,,0,2,1,https://lebanon-rental.com/property/seaside-luxury-chalet-halat/,2025-11-27
LebanonRental,chalet-c-beachfront,"Halat, Chalet C – Luxury Beachfront Retreat",Jbeil,1,1,1,Started 110$ /Night,110.0,,0,2,1,https://lebanon-rental.com/property/chalet-c-beachfront/,2025-11-27
LebanonRental,ehden-luxury-hotel,"Ehden, Luxury Hotel",Ehden,,,,Starting 190$ /Night,190.0,,0,0,1,https://lebanon-rental.com/property/ehden-luxury-hotel/,2025-11-27
LebanonRental,aley-bungalow,Aley Bungalow,Aley,1,,1,Starting 65$ /Night,65.0,,0,1,1,https://lebanon-rental.com/property/aley-bungalow/,2025-11-27
LebanonRental,private-guest-chalet-nahr-ibrahim,Private Guest Chalet in Nahr Ibrahim,Keserouan,1,1,1,Started 85$ /Night,85.0,,0,2,1,https://lebanon-rental.com/property/private-guest-chalet-nahr-ibrahim/,2025-11-27
LebanonRental,luxury-dome-in-bhamdoun,Luxury Dome in Bhamdoun,Aley,1,1,1,Started 135$ /Night,135.0,,0,2,1,https://lebanon-rental.com/property/luxury-dome-in-bhamdoun/,2025-11-27
LebanonRental,bhamdoun-bungalow-experience,Bhamdoun Bungalow Experience,Aley,1,1,1,Started 115$ /Night,115.0,,0,2,1,https://lebanon-rental.com/property/bhamdoun-bungalow-experience/,2025-11-27
LebanonRental,faraya-chalet-2,"Faraya, Chalet 2",Keserouan,1,1,1,New Year 500$,500.0,,0,2,1,https://lebanon-rental.com/property/faraya-chalet-2/,2025-11-27
LebanonRental,kfardebian-guest-house,"Kfardebian, Guest House",Keserouan,2,,2,Starting 220$ /Night,220.0,,0,1,1,https://lebanon-rental.com/property/kfardebian-guest-house/,2025-11-27
LebanonRental,kfardebian-geronimo-cabin,"Kfardebian, Geronimo cabin",Keserouan,1,1,1,Starting 90$ /Night,90.0,,0,2,1,https://lebanon-rental.com/property/kfardebian-geronimo-cabin/,2025-11-27
LebanonRental,kfardebian-azul-cabin,"Kfardebian, Azul Cabin",Keserouan,1,1,1,Starting 90$ /Night,90.0,,0,2,1,https://lebanon-rental.com/property/kfardebian-azul-cabin/,2025-11-27
LebanonRental,beit-chabeb-4-bedroom,Beit Chabeb 4 Bedroom,El Meten,,,,,,,0,0,1,https://lebanon-rental.com/property/beit-chabeb-4-bedroom/,2025-11-27
LebanonRental,smar-jbeil-guesthouse,Smar Jbeil Guesthouse,El Batroun,1,,1,Starting 140$ /Night,140.0,,0,1,1,https://lebanon-rental.com/property/smar-jbeil-guesthouse/,2025-11-27
LebanonRental,bakaatouta-1-bedroom-unit-1,Bqaatouta 1 Bedroom The Little U1,Kesrwane,1,,1,Starting 80$ /Night,80.0,,0,1,1,https://lebanon-rental.com/property/bakaatouta-1-bedroom-unit-1/,2025-11-27
LebanonRental,faqra-duplex-chalet-two-bedroom,Faqra Duplex Chalet Two Bedroom,Keserouan,2,2,2,,,,0,2,1,https://lebanon-rental.com/property/faqra-duplex-chalet-two-bedroom/,2025-11-27
LebanonRental,seasonal-rental-faqra-duplex-villa,Seasonal Rental: 3-Bedroom Duplex Villa in Faqra,Keserouan,3,2,3,Seasonal,,,0,2,1,https://lebanon-rental.com/property/seasonal-rental-faqra-duplex-villa/,2025-11-27
LebanonRental,bakaatouta-3-bedroom-unit-4,"Bqaatouta, 3 bedroom The Son U4",Keserouan,3,1,3,Starting 240$ /Night,240.0,,0,2,1,https://lebanon-rental.com/property/bakaatouta-3-bedroom-unit-4/,2025-11-27
LebanonRental,bakaatouta-3-bedroom-unit-3,"Bqaatouta, 3 Bedroom The Eldest U3",Kesrwane,3,1,3,Starting 210$ /Night,210.0,,0,2,1,https://lebanon-rental.com/property/bakaatouta-3-bedroom-unit-3/,2025-11-27
LebanonRental,smar-jbeil-2-bdrs-apartment,Smar Jbeil 2 Bdrs Apartment,El Batroun,2,,2,Starting 125$ /Night,125.0,,0,1,1,https://lebanon-rental.com/property/smar-jbeil-2-bdrs-apartment/,2025-11-27
LebanonRental,mayrouba-2-bedroom,"Mayrouba, 2 Bedroom",Keserouan,2,,2,Starting 150$ /Night,150.0,,0,1,1,https://lebanon-rental.com/property/mayrouba-2-bedroom/,2025-11-27
LebanonRental,sejoud-jezzine,"Sejoud, Jezzine",El Nabatieh,2,,2,Starting 180$ /Night,180.0,,0,1,1,https://lebanon-rental.com/property/sejoud-jezzine/,2025-11-27
LebanonRental,faraya-1-bedroom-2,"Faraya, 1 Bedroom",Keserouan,1,1,1,Starting 80$ /Night,80.0,,0,2,1,https://lebanon-rental.com/property/faraya-1-bedroom-2/,2025-11-27
LebanonRental,mountain-dome-getaway-north-lebanon,"Mountain Dome Getaway Near Ehden, North Lebanon",Ehden,,,,Started 180$ /Night,180.0,,0,0,1,https://lebanon-rental.com/property/mountain-dome-getaway-north-lebanon/,2025-11-27
LebanonRental,mayrouba-state-loge,"Mayrouba, State Loge",Keserouan,1,1,1,Starting 100$ /Night,100.0,,0,2,1,https://lebanon-rental.com/property/mayrouba-state-loge/,2025-11-27
LebanonRental,douma-retreat-bungalows,Nature Bungalows in Douma,El Batroun,1,1,1,Started 90$ /Night,90.0,,0,2,1,https://lebanon-rental.com/property/douma-retreat-bungalows/,2025-11-27
LebanonRental,mayrouba-mini-villas,"Mayrouba, Mini Villas",Keserouan,,,,Starting 140$ /Night,140.0,,0,0,1,https://lebanon-rental.com/property/mayrouba-mini-villas/,2025-11-27
LebanonRental,faraya-small-chalet,"Faraya, Small Bungalow",Keserouan,1,1,1,Starting 80$ /Night,80.0,,0,2,1,https://lebanon-rental.com/property/faraya-small-chalet/,2025-11-27
LebanonRental,faraya-small-hut,"Faraya, Small Hut",Keserouan,1,1,1,Starting 80$ /Night,80.0,,0,2,1,https://lebanon-rental.com/property/faraya-small-hut/,2025-11-27
LebanonRental,faraya-big-hut,"Faraya, Big Hut",Keserouan,1,1,1,Starting 65$ /Night,65.0,,0,2,1,https://lebanon-rental.com/property/faraya-big-hut/,2025-11-27
LebanonRental,zahle-2-bedroom-apartment,"Zahle, 2 Bedroom Apartment",Zahle,,,,Starting 150$ /Night,150.0,,0,0,1,https://lebanon-rental.com/property/zahle-2-bedroom-apartment/,2025-11-27
LebanonRental,zahle-valle,Zahle Valle,Zahle,1,1,1,Starting 85$ /Night,85.0,,0,2,1,https://lebanon-rental.com/property/zahle-valle/,2025-11-27
LebanonRental,baskinta-wood-chalet,"Baskinta, Wood Chalet",Keserouan,1,,1,Starting 140$ /Night,140.0,,0,1,1,https://lebanon-rental.com/property/baskinta-wood-chalet/,2025-11-27
LebanonRental,mountainside-boutique-in-faqra-regular,Mountainside Boutique in Faqra Regular,Keserouan,8,8,8,Started 150$ /Night,150.0,,0,2,1,https://lebanon-rental.com/property/mountainside-boutique-in-faqra-regular/,2025-11-27
LebanonRental,kfardebian-ski-retreat-apartment,Kfardebian Ski Retreat Apartment,Kesrwane,2,2,2,Started 100$ /Night,100.0,,0,2,1,https://lebanon-rental.com/property/kfardebian-ski-retreat-apartment/,2025-11-27
LebanonRental,guest-house-2-your-view-your-escape,"Guest House 2: Your View, Your Escape",El Batroun,1,2,1,Started 90$ /Night,90.0,,0,2,1,https://lebanon-rental.com/property/guest-house-2-your-view-your-escape/,2025-11-27
LebanonRental,panorama-escape-guest-house,"Guest House: Your View, Your Escape",El Batroun,2,2,2,Started 90$ /Night,90.0,,0,2,1,https://lebanon-rental.com/property/panorama-escape-guest-house/,2025-11-27
LebanonRental,faraya-1-bedroom,Faraya 1 Bedroom,Keserouan,1,1,1,,,,0,2,1,https://lebanon-rental.com/property/faraya-1-bedroom/,2025-11-27
LebanonRental,mountainside-boutique-in-faqra,Mountainside Boutique in Faqra Studio Suite,Keserouan,8,8,8,Started 200$ /Night,200.0,,0,2,1,https://lebanon-rental.com/property/mountainside-boutique-in-faqra/,2025-11-27
LebanonRental,qnat-small-dome,"Qnat, small dome",Bcharre,,,,Starting 80$ /Night,80.0,,0,0,1,https://lebanon-rental.com/property/qnat-small-dome/,2025-11-27
LebanonRental,qnat-big-dome,"Qnat, big dome",Bcharre,,,,Starting 120$ /Night,120.0,,0,0,1,https://lebanon-rental.com/property/qnat-big-dome/,2025-11-27
LebanonRental,bekaa-2-bedroom-anjar-road,"Bekaa, 2 Bedroom – Anjar Road",Bekaa,,,,Starting 200$ /Night,200.0,,0,0,1,https://lebanon-rental.com/property/bekaa-2-bedroom-anjar-road/,2025-11-27
LebanonRental,faraya-chalet-2-bedrooms-2,"Faraya Chalet, 2 bedrooms",Keserouan,2,1,2,Starting 100$ /Night,100.0,,0,2,1,https://lebanon-rental.com/property/faraya-chalet-2-bedrooms-2/,2025-11-27
LebanonRental,hrajel-chalet-2-bedrooms,Hrajel Chalet 2 Bedrooms,Keserouan,2,1,2,Starting 130$ /Night,130.0,,0,2,1,https://lebanon-rental.com/property/hrajel-chalet-2-bedrooms/,2025-11-27
LebanonRental,kfarhbab-chalet-2-bedrooms-chalet,Kfarhbab Chalet  2 Bedrooms Chalet,Keserouan,2,,2,Starting 200$ /Night,200.0,,0,1,1,https://lebanon-rental.com/property/kfarhbab-chalet-2-bedrooms-chalet/,2025-11-27
LebanonRental,faraya-chalet-2-bdrs,Cozy Apartment in Faraya Near the River,Keserouan,2,,2,Starting 120$ /Night,120.0,,0,1,1,https://lebanon-rental.com/property/faraya-chalet-2-bdrs/,2025-11-27
LebanonRental,cedars-deluxe-chalet-3-bedrooms,"Cedars Deluxe Chalet, 3 Bedrooms",Bcharre,3,,3,Starting 350$ /Night,350.0,,0,2,1,https://lebanon-rental.com/property/cedars-deluxe-chalet-3-bedrooms/,2025-11-27
LebanonRental,arez-2-bedroom-chalet-terrace,"Arez, 2 Bedroom Chalet (Terrace)",cedars,2,2,2,,,,0,2,1,https://lebanon-rental.com/property/arez-2-bedroom-chalet-terrace/,2025-11-27
LebanonRental,arez-chalet-3-bedroom,"Arez, Chalet 3 Bedroom",cedars,3,,3,,,,0,2,1,https://lebanon-rental.com/property/arez-chalet-3-bedroom/,2025-11-27
LebanonRental,2-bedroom-chalet-faraya,Faraya 2 Bedrooms Chalet Chemine,Keserouan,2,,2,Starting 130$ /Night,130.0,,0,1,1,https://lebanon-rental.com/property/2-bedroom-chalet-faraya/,2025-11-27
LebanonRental,jay-2-bedrooms-batroun,"Jay 2 Bedrooms, Batroun",El Batroun,,,,150$,150.0,,0,0,1,https://lebanon-rental.com/property/jay-2-bedrooms-batroun/,2025-11-27
LebanonRental,bella-1-bedroom-batroun,"Bella 1 Bedroom, Batroun",El Batroun,1,,1,Starting 150$ /Night,150.0,,0,1,1,https://lebanon-rental.com/property/bella-1-bedroom-batroun/,2025-11-27
LebanonRental,faqra-2-floors-chalet,Faqra 2 floors chalet,Keserouan,2,,2,Starting 300$ /Night,300.0,,0,2,1,https://lebanon-rental.com/property/faqra-2-floors-chalet/,2025-11-27
LebanonRental,faraya-chalet-2-bedrooms,Faraya Chalet 2 Bedrooms,Keserouan,2,,2,Starting 250$ /Night,250.0,,0,1,1,https://lebanon-rental.com/property/faraya-chalet-2-bedrooms/,2025-11-27
LebanonRental,mzaar-2-bedrooms-kfardebian,Mzaar 2 bedrooms Kfardebian,Keserouan,,,,180$,180.0,,0,0,1,https://lebanon-rental.com/property/mzaar-2-bedrooms-kfardebian/,2025-11-27
LebanonRental,3-bedroom-chalet-for-rent-in-cedars,3 Bedroom Chalet for Rent in  Cedars,Bcharre,3,3,3,Starting 350$ /Night,350.0,,0,2,1,https://lebanon-rental.com/property/3-bedroom-chalet-for-rent-in-cedars/,2025-11-27
LebanonRental,chalet-for-rent-in-the-cedars,4 Bedroom Chalet for Rent in Cedars,Bcharre,4,3,4,Started 450$ /Night,450.0,,0,2,1,https://lebanon-rental.com/property/chalet-for-rent-in-the-cedars/,2025-11-27
LebanonRental,guesthouse-with-mountain-views-3-balconies-in-batroun,Guesthouse with Mountain Views & 3 Balconies in Batroun,El Batroun,2,,2,,,,0,1,1,https://lebanon-rental.com/property/guesthouse-with-mountain-views-3-balconies-in-batroun/,2025-11-27
LebanonRental,chill-chalet-duplex,2 Bedroom Chalet In Faqra,Kesrwane,2,1,2,Starting 250$ /Night,250.0,,0,2,1,https://lebanon-rental.com/property/chill-chalet-duplex/,2025-11-27
LebanonRental,3-bedroom-apartment-in-hamra-beirut,"Beirut , Hamra 3 Bedroom",Beirut,3,3,3,Starting 100$ /Night,100.0,,0,2,1,https://lebanon-rental.com/property/3-bedroom-apartment-in-hamra-beirut/,2025-11-27
LebanonRental,luxury-villa-kfardebian,Luxury Villa Kfardebian,Kesrwane,3,1,3,Starting 350$ /Night,350.0,,0,2,1,https://lebanon-rental.com/property/luxury-villa-kfardebian/,2025-11-27
