platform,listing_id,title,city,bedrooms,bathrooms,beds,price,rating,review_count,amenities_count,minimum_nights,last_scraped
airbnb,1500715814265431638,Apartment in Beirut,Beirut,3.0,2.0,4.0,708.0,4.83,6.0,33,5.0,2025-11-19 11:38:50
airbnb,1379145109182988322,Apartment in Beirut,Beirut,1.0,1.0,1.0,554.0,5.0,29.0,69,5.0,2025-11-19 11:39:00
airbnb,1379834076410098897,Apartment in Beirut,Beirut,1.0,1.0,1.0,287.0,4.89,44.0,20,5.0,2025-11-19 11:39:00
airbnb,604839642977634458,Loft in Batroun,Batroun,1.0,1.0,1.0,799.0,4.91,116.0,34,5.0,2025-11-19 11:38:57
airbnb,1543017818958381205,Apartment in Kasslik,Kasslik,1.0,1.0,1.0,417.0,5.0,,38,5.0,2025-11-19 11:39:03
airbnb,933281712710412563,Apartment in Kasslik,Kasslik,1.0,1.0,1.0,270.0,4.83,40.0,33,5.0,2025-11-19 11:39:06
airbnb,790650815575717972,Villa in Mayrouba,Mayrouba,1.0,1.0,3.0,1340.0,5.0,18.0,56,5.0,2025-11-19 11:39:08
airbnb,33123246,Apartment in Beirut,Beirut,1.0,1.0,1.0,372.0,4.95,125.0,44,5.0,2025-11-19 11:39:13
airbnb,1230607325190857708,Apartment in Sin el Fil,Sin el Fil,1.0,1.0,1.0,725.0,4.89,57.0,49,5.0,2025-11-19 11:39:13
airbnb,881513318527514472,Villa in Niha,Niha,3.0,2.0,7.0,1188.0,5.0,29.0,44,5.0,2025-11-19 11:39:13
airbnb,1230250829351435302,Apartment in Mtaileb,Mtaileb,2.0,2.0,4.0,405.0,4.95,21.0,51,5.0,2025-11-19 11:39:18
airbnb,1415362455027787410,Apartment in Beirut,Beirut,1.0,1.0,1.0,266.0,5.0,12.0,18,5.0,2025-11-19 11:39:17
airbnb,1463916955699617004,Dome in Himlaya,Himlaya,1.0,1.0,2.0,742.0,4.67,9.0,34,5.0,2025-11-19 11:39:22
airbnb,1463135981831881468,Apartment in Beirut,Beirut,1.0,1.0,1.0,260.0,4.81,16.0,18,5.0,2025-11-19 11:39:26
airbnb,542336323876307421,Apartment in Beirut,Beirut,1.0,1.0,1.0,159.0,4.89,56.0,29,5.0,2025-11-19 11:39:26
airbnb,903389664107229083,Guesthouse in Deir El Qamar,Deir El Qamar,1.0,1.0,3.0,400.0,4.92,64.0,43,5.0,2025-11-19 11:39:30
airbnb,1307166382062118202,Apartment in Hadath,Hadath,2.0,1.0,2.0,317.0,4.97,29.0,59,5.0,2025-11-19 11:39:30
airbnb,53876321,Apartment in Beirut,Beirut,1.0,1.0,1.0,304.0,4.94,53.0,36,5.0,2025-11-19 11:39:34
airbnb,1233562630577093532,Apartment in Matn District,Matn District,3.0,2.0,4.0,460.0,5.0,7.0,46,5.0,2025-11-19 11:39:37
airbnb,714202180028181775,Apartment in Beirut,Beirut,1.0,1.0,1.0,294.0,4.83,80.0,45,5.0,2025-11-19 11:39:41
airbnb,815185320376035596,Villa in Mayrouba,Mayrouba,1.0,1.0,1.0,1550.0,4.91,23.0,63,5.0,2025-11-19 11:39:39
airbnb,1352951838046923264,Apartment in Beirut,Beirut,2.0,1.0,3.0,401.0,4.98,40.0,59,5.0,2025-11-19 11:39:46
airbnb,917978369142995505,Apartment in Achrafieh,Achrafieh,1.0,1.0,1.0,695.0,4.89,91.0,50,5.0,2025-11-19 11:39:48
airbnb,50237992,Apartment in Batroun,Batroun,2.0,1.0,2.0,594.0,4.91,192.0,37,5.0,2025-11-19 11:39:50
airbnb,51726083,Apartment in Beirut,Beirut,,1.0,,175.0,4.75,99.0,37,5.0,2025-11-19 11:39:52
airbnb,872836800724836217,Apartment in Beirut,Beirut,1.0,1.0,1.0,441.0,4.81,43.0,36,5.0,2025-11-19 11:39:53
airbnb,28126246,Apartment in Beirut,Beirut,2.0,2.0,2.0,839.0,4.83,155.0,46,5.0,2025-11-19 11:39:58
airbnb,1228350832145680269,Apartment in Sin el Fil,Sin el Fil,1.0,1.0,1.0,615.0,4.96,54.0,42,5.0,2025-11-19 11:40:00
airbnb,31364366,Comfy Double Room,Beirut,1.0,,1.0,115.0,4.9,52.0,35,5.0,2025-11-19 11:40:03
airbnb,1379864369619925659,Apartment in Beirut,Beirut,1.0,1.0,1.0,270.0,4.92,13.0,21,5.0,2025-11-19 11:40:04
airbnb,1432778638587175372,Apartment in Beirut,Beirut,1.0,1.0,1.0,326.0,4.83,18.0,43,5.0,2025-11-19 11:39:53
airbnb,43074160,Apartment in Beirut,Beirut,1.0,1.0,2.0,342.0,4.72,120.0,25,5.0,2025-11-19 11:40:06
airbnb,1379248016110767944,Apartment in Matn District,Matn District,3.0,1.0,3.0,415.0,5.0,21.0,67,5.0,2025-11-19 11:40:12
airbnb,51957613,Apartment in Beirut,Beirut,,1.0,,193.0,4.65,139.0,38,5.0,2025-11-19 11:40:16
airbnb,1518793502918702279,Guesthouse in Beit Chabeb,Beit Chabeb,1.0,1.0,1.0,331.0,4.5,,33,5.0,2025-11-19 11:40:16
airbnb,1468546177763513106,Apartment in Keserwan District,Keserwan District,1.0,2.0,1.0,273.0,5.0,,41,5.0,2025-11-19 11:40:21
airbnb,987381910261097061,Apartment in Beirut,Beirut,1.0,1.0,1.0,251.0,4.82,11.0,27,5.0,2025-11-19 11:40:25
airbnb,679369796887201392,Apartment in Beirut,Beirut,1.0,1.0,1.0,293.0,4.96,55.0,37,5.0,2025-11-19 11:40:27
airbnb,1176613353237436126,Apartment in Beirut,Beirut,1.0,1.0,1.0,178.0,5.0,16.0,16,5.0,2025-11-19 11:40:25
airbnb,50236857,Apartment in Batroun,Batroun,1.0,1.0,1.0,388.0,4.89,245.0,32,5.0,2025-11-19 11:40:29
airbnb,28000834,Apartment in Baabda,Baabda,2.0,2.0,3.0,423.0,4.84,74.0,40,5.0,2025-11-19 11:40:30
airbnb,1099173752640307342,Apartment in Beirut,Beirut,1.0,1.0,1.0,169.0,4.9,58.0,23,5.0,2025-11-19 11:40:42
airbnb,1385385046248361370,Hotel in Beirut,Beirut,1.0,1.0,1.0,343.0,5.0,13.0,31,5.0,2025-11-19 11:40:34
airbnb,1492156032150400354,Apartment in Beirut,Beirut,1.0,1.0,1.0,270.0,5.0,6.0,36,5.0,2025-11-19 11:40:42
airbnb,1321923425916729599,Guesthouse in Deir El Qamar,Deir El Qamar,1.0,1.0,1.0,417.0,5.0,11.0,21,5.0,2025-11-19 11:40:42
airbnb,1051351332609455605,Apartment in Beirut,Beirut,1.0,1.0,1.0,331.0,4.96,28.0,34,5.0,2025-11-19 11:40:42
airbnb,1403402898880352517,Private + Jacuzzi + Cozy+ Bbq,Haouch Snad,1.0,1.0,1.0,428.0,5.0,10.0,12,5.0,2025-11-19 11:40:53
airbnb,1379843897011567478,Apartment in Beirut,Beirut,1.0,1.0,1.0,345.0,4.89,38.0,21,5.0,2025-11-19 11:40:53
airbnb,35796258,Apartment in Beirut,Beirut,1.0,1.0,1.0,155.0,4.87,204.0,20,5.0,2025-11-19 11:40:53
airbnb,1175384082610027727,Guesthouse in Kfar Aabîda,Kfar Aabîda,1.0,1.0,1.0,297.0,4.87,60.0,25,5.0,2025-11-19 11:40:56
airbnb,1472470052318061493,Apartment in Batroun,Batroun,1.0,1.0,1.0,364.0,4.8,5.0,37,5.0,2025-11-19 11:40:55
airbnb,51726551,Apartment in Beirut,Beirut,,1.0,,198.0,4.68,185.0,32,5.0,2025-11-19 11:40:56
airbnb,1234582966913572669,Apartment in Beirut,Beirut,1.0,1.0,1.0,288.0,5.0,9.0,24,5.0,2025-11-19 11:41:07
airbnb,918197865694883707,Loft in Faqra,Faqra,2.0,1.0,5.0,1016.0,4.85,47.0,50,5.0,2025-11-19 11:41:07
airbnb,1316120809476692490,Apartment in Jumayza,Jumayza,1.0,1.0,1.0,620.0,4.98,46.0,35,5.0,2025-11-19 11:41:07
airbnb,951174510347859458,Home in Batroun,Batroun,3.0,2.0,3.0,1269.0,4.96,75.0,46,5.0,2025-11-19 11:41:14
airbnb,1426889854186151522,Cabin in Ain Al Sindianeh-khenchara,Ain Al Sindianeh-khenchara,1.0,2.0,1.0,575.0,5.0,8.0,28,5.0,2025-11-19 11:41:15
airbnb,1202893888826618235,Apartment in Beirut,Beirut,1.0,1.0,2.0,292.0,5.0,5.0,15,5.0,2025-11-19 11:41:25
airbnb,26287591,Chalet in El Barouk,El Barouk,1.0,1.0,1.0,628.0,4.85,34.0,8,5.0,2025-11-19 11:41:25
airbnb,1114435928490337667,Cave in Chemlane,Chemlane,3.0,2.0,4.0,352.0,5.0,15.0,23,5.0,2025-11-19 11:41:30
airbnb,1412297978357202089,Apartment in Beirut,Beirut,1.0,1.0,1.0,276.0,4.75,8.0,15,5.0,2025-11-19 11:41:30
airbnb,27935911,Apartment in Chenan Aair,Chenan Aair,2.0,2.0,2.0,370.0,4.9,127.0,46,5.0,2025-11-19 11:41:38
airbnb,1227459216847702759,Apartment in Beirut,Beirut,1.0,1.0,1.0,177.0,5.0,,5,5.0,2025-11-19 11:41:40
airbnb,1066101276595249256,Apartment in Beirut,Beirut,3.0,2.0,4.0,582.0,5.0,15.0,67,5.0,2025-11-19 11:41:41
airbnb,709376209976524156,Apartment in Matn District,Matn District,1.0,1.0,1.0,451.0,4.98,44.0,21,5.0,2025-11-19 11:41:42
airbnb,1517989345959542091,Home in Majdel Baana,Majdel Baana,1.0,2.0,2.0,377.0,5.0,,36,5.0,2025-11-19 11:41:54
airbnb,1216784802950275430,Apartment in Beirut,Beirut,2.0,1.0,4.0,428.0,4.97,39.0,55,5.0,2025-11-19 11:41:56
airbnb,1498412981448743138,Apartment in Keserwan District,Keserwan District,1.0,1.0,1.0,200.0,5.0,,40,5.0,2025-11-19 11:41:59
airbnb,860197172861169767,Apartment in Furn El Chebbak,Furn El Chebbak,2.0,2.0,3.0,223.0,4.85,20.0,22,5.0,2025-11-19 11:42:02
airbnb,6666945,Loft in Beirut,Beirut,2.0,4.0,2.0,931.0,4.91,35.0,49,5.0,2025-11-19 11:42:11
airbnb,688115896369593579,Apartment in Al-Mansuriyya,Al-Mansuriyya,3.0,4.0,4.0,337.0,4.86,42.0,22,6.0,2025-11-19 11:42:10
airbnb,53862247,Apartment in Haret Sakher,Haret Sakher,1.0,1.0,2.0,388.0,4.99,69.0,54,5.0,2025-11-19 11:42:12
airbnb,1362971179654898452,Apartment in Jumayza,Jumayza,1.0,1.0,1.0,445.0,4.92,39.0,41,5.0,2025-11-19 11:42:16
airbnb,1035240333029153195,Skyline Sanctuary,Beirut,1.0,0.0,1.0,161.0,4.88,32.0,29,5.0,2025-11-19 11:42:23
airbnb,1000324394372795692,Apartment in Beirut,Beirut,2.0,2.0,3.0,955.0,4.95,40.0,63,5.0,2025-11-19 11:42:22
airbnb,557963501445698987,Apartment in Beirut,Beirut,3.0,2.0,4.0,1210.0,4.92,87.0,48,5.0,2025-11-19 11:42:32
airbnb,682198475881321192,Villa in Baadrane,Baadrane,2.0,1.0,4.0,856.0,4.96,27.0,36,5.0,2025-11-19 11:42:31
airbnb,53123663,Apartment in Beirut,Beirut,1.0,1.0,1.0,420.0,4.88,56.0,29,5.0,2025-11-19 11:42:32
airbnb,1185416201177763021,Apartment in Dekwaneh,Dekwaneh,2.0,2.0,3.0,543.0,5.0,14.0,71,5.0,2025-11-19 11:42:32
airbnb,874441783036133989,Apartment in Beirut,Beirut,1.0,1.0,1.0,543.0,4.83,12.0,39,5.0,2025-11-19 11:42:40
airbnb,31775104,Apartment in Beirut,Beirut,2.0,1.0,2.0,294.0,4.66,146.0,45,5.0,2025-11-19 11:42:44
airbnb,13302941,Loft in Monteverde,Monteverde,2.0,1.0,2.0,580.0,4.91,118.0,70,5.0,2025-11-19 11:42:49
airbnb,933047852046012780,Apartment in Kasslik,Kasslik,1.0,1.0,1.0,270.0,4.79,34.0,38,5.0,2025-11-19 11:42:49
airbnb,778769237776449040,Apartment in Beirut,Beirut,1.0,1.0,2.0,310.0,4.97,29.0,26,5.0,2025-11-19 11:42:56
airbnb,964358779187975460,Apartment in Mar Mikhael,Mar Mikhael,1.0,1.0,1.0,340.0,4.83,121.0,38,5.0,2025-11-19 11:42:52
airbnb,1190284713996120026,Guesthouse in Deir El Qamar,Deir El Qamar,5.0,4.0,9.0,1861.0,5.0,18.0,39,5.0,2025-11-19 11:43:03
airbnb,725779457035104824,Apartment in Byblos,Byblos,2.0,1.0,3.0,395.0,4.71,42.0,39,5.0,2025-11-19 11:43:03
airbnb,1498343057819001088,Apartment in Keserwan District,Keserwan District,1.0,1.0,1.0,218.0,5.0,,39,5.0,2025-11-19 11:43:09
airbnb,814261904025324391,Apartment in Zakrit,Zakrit,1.0,1.0,1.0,229.0,4.85,33.0,45,5.0,2025-11-19 11:43:09
airbnb,539672764228684702,Apartment in Beirut,Beirut,1.0,1.0,1.0,169.0,4.87,119.0,29,5.0,2025-11-19 11:43:15
airbnb,51721121,Apartment in Beirut,Beirut,3.0,3.0,3.0,793.0,4.89,91.0,39,5.0,2025-11-19 11:43:15
airbnb,39084409,Nov 22 – 27,Beirut,1.0,,1.0,74.0,4.88,108.0,24,5.0,2025-11-19 11:43:23
airbnb,1336173125437867318,"The backpacker’s bunk - Private room, shared flat.",Beirut,1.0,,1.0,110.0,4.91,22.0,38,5.0,2025-11-19 11:43:22
airbnb,660052490607694766,Apartment in Beirut,Beirut,1.0,1.0,1.0,319.0,4.62,104.0,36,5.0,2025-11-19 11:43:32
airbnb,871419491933756274,Apartment in Mar Mikhael,Mar Mikhael,1.0,1.0,1.0,407.0,4.87,102.0,41,5.0,2025-11-19 11:43:28
airbnb,655529266675477596,Apartment in Beirut,Beirut,2.0,1.0,2.0,505.0,5.0,85.0,60,5.0,2025-11-19 11:43:32
airbnb,31796168,Apartment in Beirut,Beirut,2.0,1.0,2.0,294.0,4.82,108.0,44,5.0,2025-11-19 11:43:36
airbnb,882530573534913881,Just Need a Place to Sleep in badaro beirut,Beirut,1.0,,1.0,94.0,4.74,19.0,15,5.0,2025-11-19 11:43:45
airbnb,1475935068249754248,Apartment in Beirut,Beirut,1.0,2.0,1.0,415.0,5.0,3.0,20,5.0,2025-11-19 11:43:47
airbnb,1167189354305661309,Apartment in Beirut,Beirut,2.0,1.0,3.0,377.0,5.0,3.0,31,5.0,2025-11-19 11:43:50
airbnb,924711354092763703,Home in El Ftaha,El Ftaha,2.0,3.0,6.0,1393.0,5.0,21.0,36,5.0,2025-11-19 11:43:50
airbnb,968232188192433347,Apartment in Beirut,Beirut,1.0,1.0,2.0,249.0,4.71,14.0,17,5.0,2025-11-19 11:43:57
airbnb,578651102195772154,Loft in Beirut,Beirut,1.0,1.0,1.0,385.0,4.79,53.0,28,5.0,2025-11-19 11:44:03
airbnb,1051305321040166014,Apartment in Beirut,Beirut,1.0,1.0,1.0,181.0,4.89,36.0,25,5.0,2025-11-19 11:44:05
airbnb,1033116311427738993,Apartment in Beirut,Beirut,1.0,1.0,1.0,377.0,4.74,27.0,39,5.0,2025-11-19 11:44:07
airbnb,48190860,Apartment in Kfardebian,Kfardebian,2.0,2.0,4.0,605.0,4.82,82.0,68,5.0,2025-11-19 11:44:13
airbnb,1379839331789666456,Apartment in Beirut,Beirut,1.0,1.0,1.0,300.0,4.86,7.0,19,5.0,2025-11-19 11:44:09
airbnb,1312369790465003054,Apartment in Zakrit,Zakrit,2.0,2.0,4.0,204.0,4.86,14.0,49,5.0,2025-11-19 11:44:20
airbnb,1389597490207218874,Apartment in Beirut,Beirut,2.0,1.0,3.0,285.0,4.83,12.0,34,5.0,2025-11-19 11:44:22
airbnb,1451307135783467315,Casa Bassel,Tripoli District,1.0,1.0,1.0,75.0,5.0,,10,5.0,2025-11-19 11:44:30
airbnb,1338185933243856243,Apartment in Beirut,Beirut,2.0,2.0,3.0,897.0,4.75,16.0,51,5.0,2025-11-19 11:44:25
airbnb,1139961068675108749,Apartment in Beirut,Beirut,1.0,1.0,2.0,257.0,4.95,55.0,41,5.0,2025-11-19 11:44:32
airbnb,1122563211312042844,Condo in Balluna,Balluna,3.0,2.0,4.0,385.0,4.67,6.0,55,5.0,2025-11-19 11:44:38
airbnb,914189227072980415,Apartment in Fanar,Fanar,2.0,2.0,3.0,420.0,4.75,16.0,32,5.0,2025-11-19 11:44:38
airbnb,1497912727159293015,Apartment in Beirut,Beirut,1.0,1.0,1.0,273.0,5.0,8.0,8,5.0,2025-11-19 11:44:41
airbnb,1035371365953004973,Apartment in Beirut,Beirut,1.0,1.0,1.0,233.0,4.65,34.0,41,5.0,2025-11-19 11:44:45
airbnb,1452751965685343795,Apartment in حازمية,حازمية,2.0,3.0,3.0,891.0,5.0,,46,5.0,2025-11-19 11:44:47
airbnb,28974047,Apartment in Mar Mikhael,Mar Mikhael,3.0,1.0,4.0,456.0,4.84,116.0,29,5.0,2025-11-19 11:44:49
airbnb,600139965802675985,Apartment in Beirut,Beirut,1.0,1.0,2.0,400.0,4.91,78.0,64,5.0,2025-11-19 11:44:54
airbnb,1515843814145614203,Apartment in Beirut,Beirut,1.0,1.0,2.0,390.0,5.0,,37,5.0,2025-11-19 11:44:55
airbnb,22132990,Guesthouse in Beirut,Beirut,,1.0,1.0,480.0,4.95,145.0,22,5.0,2025-11-19 11:45:02
airbnb,994185145779030289,Apartment in Beirut,Beirut,2.0,1.0,4.0,377.0,4.72,25.0,51,5.0,2025-11-19 11:45:03
